P,G,share_surf_prefers_fight,share_offshore_implements
0.30000000000000004,8.0,0.463768115942029,1.0
0.30000000000000004,9.0,0.463768115942029,1.0
0.30000000000000004,10.0,0.4927536231884058,1.0
0.30000000000000004,11.0,0.5072463768115942,1.0
0.30000000000000004,12.0,0.5072463768115942,1.0
0.30000000000000004,13.0,0.5217391304347826,1.0
0.30000000000000004,14.0,0.5507246376811594,1.0
0.30000000000000004,15.0,0.5507246376811594,1.0
0.30000000000000004,16.0,0.5507246376811594,1.0
0.30000000000000004,17.0,0.5797101449275363,1.0
0.30000000000000004,18.0,0.5942028985507246,1.0
0.30000000000000004,19.0,0.5942028985507246,1.0
0.30000000000000004,20.0,0.6231884057971014,1.0
0.30000000000000004,21.0,0.6376811594202898,1.0
0.30000000000000004,22.0,0.6376811594202898,1.0
0.30000000000000004,23.0,0.6521739130434783,1.0
0.30000000000000004,24.0,0.6811594202898551,1.0
0.30000000000000004,25.0,0.6811594202898551,1.0
0.30000000000000004,26.0,0.6811594202898551,1.0
0.30000000000000004,27.0,0.7101449275362319,1.0
0.30000000000000004,28.0,0.7246376811594203,1.0
0.30000000000000004,29.0,0.7246376811594203,1.0
0.30000000000000004,30.0,0.7536231884057971,1.0
0.30000000000000004,31.0,0.7536231884057971,1.0
0.30000000000000004,32.0,0.7536231884057971,1.0
0.30000000000000004,33.0,0.7681159420289855,1.0
0.4,0.0,0.30434782608695654,1.0
0.4,1.0,0.3333333333333333,1.0
0.4,2.0,0.34782608695652173,1.0
0.4,3.0,0.36231884057971014,1.0
0.4,4.0,0.37681159420289856,1.0
0.4,5.0,0.391304347826087,1.0
0.4,6.0,0.42028985507246375,1.0
0.4,7.0,0.43478260869565216,1.0
0.4,8.0,0.4492753623188406,1.0
0.4,9.0,0.463768115942029,1.0
0.4,10.0,0.4782608695652174,1.0
0.4,11.0,0.5072463768115942,1.0
0.4,12.0,0.5217391304347826,1.0
0.4,13.0,0.5362318840579711,1.0
0.4,14.0,0.5507246376811594,1.0
0.4,15.0,0.5652173913043478,1.0
0.4,16.0,0.5942028985507246,1.0
0.4,17.0,0.6086956521739131,1.0
0.4,18.0,0.6231884057971014,1.0
0.4,19.0,0.6376811594202898,1.0
